pitch,spectral_centroid,zcr,jitter,shimmer,hnr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,file,label
1806.4908,5197.620556511544,0.07403464395491803,0.02160228553847376,0.14561098655319996,6.175310614877006,-563.28656,49.648838,-6.105738,10.458235,-5.4917345,-0.33151755,-9.9508915,-0.90741223,-10.08037,-7.562868,-8.875398,-1.2832767,-4.3651705,../data/ravdess/Actor_16/03-01-05-01-02-01-16.wav,1
1884.5718,4251.116911998692,0.07072644589552239,0.024298195304401398,0.10234824239840933,10.481150312650831,-582.41504,53.82776,-6.217736,7.7031937,-1.5356784,4.7516313,-11.035256,-6.7317414,-12.881447,-9.406088,-5.080708,0.43318984,-7.476513,../data/ravdess/Actor_16/03-01-06-01-02-02-16.wav,1
2051.5464,5423.216356072235,0.11762013666310542,0.025273365194899245,0.10973989706575238,12.248880947872994,-418.49988,39.591274,-25.592108,-2.8347986,-5.6961985,-2.1065917,-18.492926,-7.5460377,-12.406196,-9.510558,-6.9370213,-1.207587,-9.490372,../data/ravdess/Actor_16/03-01-06-02-01-02-16.wav,1
1772.7747,4645.976943114433,0.0707981631199732,0.02479639576333035,0.152314532946149,9.131068111656523,-470.2107,48.589825,-8.505514,5.728758,-3.0265071,-2.5719056,-14.422111,0.16104388,-6.6395006,-8.884907,-6.19227,0.9303705,-5.094511,../data/ravdess/Actor_16/03-01-05-02-01-01-16.wav,1
1867.2657,4275.877751842775,0.06274000264830508,0.02573073111247249,0.12191805745177045,10.391755889546928,-650.4923,64.39038,0.82921916,11.523898,-0.3586219,3.5913172,-6.4609547,0.6406636,-12.072952,-4.1151204,-5.8277154,1.0929083,-3.3423955,../data/ravdess/Actor_16/03-01-07-01-01-01-16.wav,1
1601.853,5291.650897933066,0.08370373912693299,0.027157739213596724,0.12186784958894825,8.242325145514643,-600.0875,59.866695,6.064599,18.247078,-2.0502331,7.751212,-12.605536,-2.6126616,-10.890645,-7.04582,-7.5973454,2.069534,-6.358903,../data/ravdess/Actor_16/03-01-07-02-02-01-16.wav,1
1839.314,5615.084894607077,0.09466638217787114,0.02038800092415201,0.12495973139763338,9.221640250210928,-554.5332,52.558823,-7.9272633,5.60135,-0.7564605,3.4245107,-13.465369,-4.805654,-8.31422,-6.799661,-3.5698268,1.1086127,-3.9270422,../data/ravdess/Actor_16/03-01-03-02-02-02-16.wav,0
1899.5468,6200.461107428237,0.06837069746376812,0.01972616680922703,0.12533278622454672,11.026147715450495,-593.4962,56.980537,-7.2371716,7.515977,2.2314079,4.328758,-9.237196,-2.9362807,-8.2435875,-3.294952,-1.6675324,-0.7313613,-5.5131645,../data/ravdess/Actor_16/03-01-03-01-01-02-16.wav,0
1867.5182,5721.097529116855,0.06216640840220386,0.015048334876864683,0.09022584097109138,13.253058552535176,-674.0994,62.795067,3.5603364,9.729162,-0.023848942,4.4203014,-9.839372,-3.7491686,-8.619714,-1.4153316,-2.3824022,-2.6566257,-5.4951797,../data/ravdess/Actor_16/03-01-02-02-01-01-16.wav,0
1713.2795,4880.382647437726,0.07000058302238805,0.021669554855076267,0.11709915942726254,11.343474800550629,-665.2718,57.933636,5.258662,13.2363825,0.6685576,6.644537,-11.583322,-4.4777904,-8.907585,-3.7285652,-3.0972328,-3.3173385,-4.5042996,../data/ravdess/Actor_16/03-01-01-01-02-02-16.wav,0
